Timestamp,Medium 1,Density 1 (kg/m^3),Medium 2,Density 2 (kg/m^3),IFT (mN/m),Temperature (K),Pressure (bar),Salinity (g/L),Inverted Drop,d,D,S,InvH
2024/05/31_18:02:59,Medium 1,867.0,Medium 2,1.293,28.746282438871095,298,1,NaN,True,0.0019116788314384916,0.0024139534883720927,0.7919286103261575,0.5808766991680832
2024/05/31_18:02:59,Medium 1,867.0,Medium 2,1.293,34.47429173760454,298,1,NaN,True,0.0020506891694111367,0.002612658227848101,0.7849052537959293,0.5946894206778812
2024/05/31_18:03:00,Medium 1,867.0,Medium 2,1.293,487.8776751346711,298,1,NaN,True,0.007714497351594276,0.009828571428571428,0.7849052537959293,0.5946894206778812
2024/05/31_18:03:00,Medium 1,867.0,Medium 2,1.293,38.049369232664375,298,1,NaN,True,0.0020615958660205203,0.0026769230769230767,0.7701363867318036,0.6252241456358557
2024/05/31_18:03:00,Medium 1,867.0,Medium 2,1.293,25.4217417810663,298,1,NaN,True,0.001760869565217391,0.002243478260869565,0.7848837209302325,0.5947324500636667
2024/05/31_18:03:00,Medium 1,867.0,Medium 2,1.293,25.354913771790972,298,1,NaN,True,0.0018133823522786237,0.00228,0.7953431369643087,0.5743181050111661
2024/05/31_18:03:01,Medium 1,867.0,Medium 2,1.293,287.2823089738345,298,1,NaN,True,0.005999999999999999,0.007599999999999999,0.7894736842105263,0.5856548734509365
2024/05/31_18:03:42,Medium 1,867.0,Medium 2,1.293,84.30209666944835,298,1,NaN,False,0.0014583069598793302,0.002612658227848101,0.5581698150700926,1.454230457056767
2024/05/31_18:03:43,Medium 1,867.0,Medium 2,1.293,86.400950874453,298,1,NaN,False,0.0015080062467498886,0.0026769230769230767,0.5633356668893262,1.4197334090424478
2024/05/31_18:17:22,Medium 1,867.0,Medium 2,1.293,67.08102273241713,298,1,NaN,False,0.002344868153807287,0.0032551724137931033,0.7203514455552048,0.7454383743123052
2024/05/31_18:17:22,Medium 1,867.0,Medium 2,1.293,60.366939180150915,298,1,NaN,False,0.002255099281404092,0.0031120879120879116,0.7246258284172754,0.7339314634184536
2024/05/31_18:17:23,Medium 1,867.0,Medium 2,1.293,62.341528761085414,298,1,NaN,False,0.002345494185711534,0.0032045454545454543,0.7319272636262943,0.7148330753085382
2024/05/31_18:17:24,Medium 1,867.0,Medium 2,1.293,60.097987919528414,298,1,NaN,False,0.002242107277288314,0.0030989010989010985,0.7235168873519029,0.7368932247844937
2024/05/31_18:17:37,Medium 1,867.0,Medium 2,1.293,67.08102273241713,298,1,NaN,False,0.002344868153807287,0.0032551724137931033,0.7203514455552048,0.7454383743123052
2024/05/31_18:17:37,Medium 1,867.0,Medium 2,1.293,60.366939180150915,298,1,NaN,False,0.002255099281404092,0.0031120879120879116,0.7246258284172754,0.7339314634184536
2024/05/31_18:17:38,Medium 1,867.0,Medium 2,1.293,62.341528761085414,298,1,NaN,False,0.002345494185711534,0.0032045454545454543,0.7319272636262943,0.7148330753085382
2024/05/31_18:17:45,Medium 1,867.0,Medium 2,1.293,67.08102273241713,298,1,NaN,False,0.002344868153807287,0.0032551724137931033,0.7203514455552048,0.7454383743123052
2024/05/31_18:17:59,Medium 1,867.0,Medium 2,1.293,60.366939180150915,298,1,NaN,False,0.002255099281404092,0.0031120879120879116,0.7246258284172754,0.7339314634184536
2024/05/31_18:18:59,Medium 1,867.0,Medium 2,1.293,56.29646173826346,298,1,NaN,False,0.0022813186813186812,0.0030857142857142854,0.7393162393162394,0.6961931426116885
2024/05/31_18:19:11,Medium 1,1000.0,Medium 2,1.293,69.64121201259893,298,1,NaN,False,0.002255099281404092,0.0031120879120879116,0.7246258284172754,0.7339314634184536
2024/05/31_18:19:28,Medium 1,1000.0,Medium 2,1.293,64.94538038070142,298,1,NaN,False,0.0022813186813186812,0.0030857142857142854,0.7393162393162394,0.6961931426116885
2024/05/31_18:19:47,Medium 1,1000.0,Medium 2,1.293,80.12306938974945,298,1,NaN,False,0.002202197802197802,0.0031648351648351646,0.6958333333333333,0.8164851417725345
2024/05/31_18:21:03,Medium 1,1000.0,Medium 2,1.293,64.16026363772814,298,1,NaN,False,0.002057179299968748,0.0029020408163265305,0.708873317148162,0.7775923974450962
2024/05/31_18:21:49,Medium 1,1000.0,Medium 2,1.293,74.70409274332556,298,1,NaN,False,0.0022285714285714283,0.0031384615384615383,0.7100840336134454,0.7741117738780453
2024/05/31_18:21:50,Medium 1,1000.0,Medium 2,1.293,65.74817642762027,298,1,NaN,False,0.002090721649484536,0.0029443298969072163,0.7100840336134454,0.7741117738780453
2024/05/31_18:21:50,Medium 1,1000.0,Medium 2,1.293,64.16026363772814,298,1,NaN,False,0.002057179299968748,0.0029020408163265305,0.708873317148162,0.7775923974450962
2024/05/31_18:21:50,Medium 1,1000.0,Medium 2,1.293,75.40888839480259,298,1,NaN,False,0.0021782999215452766,0.003104347826086956,0.7016932520383945,0.7986834515714293
2024/05/31_18:21:59,Medium 1,1000.0,Medium 2,1.293,74.70409274332556,298,1,NaN,False,0.0022285714285714283,0.0031384615384615383,0.7100840336134454,0.7741117738780453
2024/05/31_18:21:59,Medium 1,1000.0,Medium 2,1.293,65.74817642762027,298,1,NaN,False,0.002090721649484536,0.0029443298969072163,0.7100840336134454,0.7741117738780453
2024/05/31_18:21:59,Medium 1,1000.0,Medium 2,1.293,64.16026363772814,298,1,NaN,False,0.002057179299968748,0.0029020408163265305,0.708873317148162,0.7775923974450962
2024/05/31_18:22:00,Medium 1,1000.0,Medium 2,1.293,75.40888839480259,298,1,NaN,False,0.0021782999215452766,0.003104347826086956,0.7016932520383945,0.7986834515714293
2024/05/31_18:22:23,Medium 1,1000.0,Medium 2,1.293,74.70409274332556,298,1,NaN,False,0.0022285714285714283,0.0031384615384615383,0.7100840336134454,0.7741117738780453
2024/05/31_18:22:23,Medium 1,1000.0,Medium 2,1.293,65.74817642762027,298,1,NaN,False,0.002090721649484536,0.0029443298969072163,0.7100840336134454,0.7741117738780453
2024/05/31_18:22:24,Medium 1,1000.0,Medium 2,1.293,64.16026363772814,298,1,NaN,False,0.002057179299968748,0.0029020408163265305,0.708873317148162,0.7775923974450962
2024/05/31_18:22:24,Medium 1,1000.0,Medium 2,1.293,75.40888839480259,298,1,NaN,False,0.0021782999215452766,0.003104347826086956,0.7016932520383945,0.7986834515714293
2024/05/31_18:22:30,Medium 1,1000.0,Medium 2,1.293,74.70409274332556,298,1,NaN,False,0.0022285714285714283,0.0031384615384615383,0.7100840336134454,0.7741117738780453
2024/05/31_18:24:07,Medium 1,1000.0,Medium 2,1.293,59.35216447772726,298,1,NaN,False,0.0023077299839938535,0.003046153846153846,0.7575881260585883,0.6528686173975217
2024/05/31_18:24:49,Medium 1,1000.0,Medium 2,1.293,64.94538038070142,298,1,NaN,False,0.0022813186813186812,0.0030857142857142854,0.7393162393162394,0.6961931426116885
2024/05/31_18:25:00,Medium 1,1000.0,Medium 2,1.293,68.29469864580588,298,1,NaN,False,0.0022549836125486987,0.0030989010989010985,0.7276720168153602,0.7258793802509607
2024/05/31_18:26:08,Medium 1,1000.0,Medium 2,1.293,68.29469864580588,298,1,NaN,False,0.0022549836125486987,0.0030989010989010985,0.7276720168153602,0.7258793802509607
2024/05/31_18:26:08,Medium 1,1000.0,Medium 2,1.293,60.107173927720105,298,1,NaN,False,0.002115500090123006,0.0029072164948453607,0.7276720168153602,0.7258793802509607
2024/05/31_18:26:09,Medium 1,1000.0,Medium 2,1.293,57.73549842055653,298,1,NaN,False,0.0020939133545095057,0.0028653061224489795,0.7307817262889301,0.7177839822153325
2024/05/31_18:26:09,Medium 1,1000.0,Medium 2,1.293,66.82110485657115,298,1,NaN,False,0.0022304347826086956,0.0030652173913043477,0.7276595744680852,0.7259120221592488
2024/05/31_18:26:31,Medium 1,1000.0,Medium 2,1.293,29.962956526116617,298,1,NaN,False,0.0018279602335575628,0.0023023255813953486,0.7939625256866183,0.5769578475860773
2024/05/31_18:26:31,Medium 1,1000.0,Medium 2,1.293,27.261210752974428,298,1,NaN,False,0.001800206599713736,0.002236363636363636,0.8049704307663048,0.5563565368459272
2024/05/31_18:26:31,Medium 1,1000.0,Medium 2,1.293,27.81417875919548,298,1,NaN,False,0.0017865718129913516,0.002236363636363636,0.7988735749148321,0.5676417056418207
2024/05/31_18:26:32,Medium 1,1000.0,Medium 2,1.293,27.820598022453634,298,1,NaN,False,0.001786415682794891,0.002236363636363636,0.7988037605993416,0.567772712261731
2024/05/31_18:26:32,Medium 1,1000.0,Medium 2,1.293,28.463827597553305,298,1,NaN,False,0.0018069491963902346,0.002262068965517241,0.7988037605993416,0.567772712261731
2024/05/31_18:26:32,Medium 1,1000.0,Medium 2,1.293,29.129625620048806,298,1,NaN,False,0.0018279602335575628,0.0022883720930232557,0.7988037605993416,0.567772712261731
2024/05/31_18:26:33,Medium 1,1000.0,Medium 2,1.293,27.577473975410005,298,1,NaN,False,0.0017600505043258777,0.002213333333333333,0.7952035411110895,0.5745842705613808
2024/05/31_18:26:33,Medium 1,1000.0,Medium 2,1.293,27.261210752974428,298,1,NaN,False,0.001800206599713736,0.002236363636363636,0.8049704307663048,0.5563565368459272
2024/05/31_18:26:33,Medium 1,1000.0,Medium 2,1.293,30.57492488770248,298,1,NaN,False,0.0018140071548411914,0.0023023255813953486,0.7879020975572852,0.5887417297401498
2024/05/31_18:27:07,Medium 1,867.0,Medium 2,1.293,25.972723937405902,298,1,NaN,False,0.0018279602335575628,0.0023023255813953486,0.7939625256866183,0.5769578475860773
2024/05/31_18:27:07,Medium 1,867.0,Medium 2,1.293,23.63077557013742,298,1,NaN,False,0.001800206599713736,0.002236363636363636,0.8049704307663048,0.5563565368459272
2024/05/31_18:27:08,Medium 1,867.0,Medium 2,1.293,24.110103615061117,298,1,NaN,False,0.0017865718129913516,0.002236363636363636,0.7988735749148321,0.5676417056418207
2024/05/31_18:27:08,Medium 1,867.0,Medium 2,1.293,24.115668010962445,298,1,NaN,False,0.001786415682794891,0.002236363636363636,0.7988037605993416,0.567772712261731
2024/05/31_18:27:08,Medium 1,867.0,Medium 2,1.293,24.67323729381598,298,1,NaN,False,0.0018069491963902346,0.002262068965517241,0.7988037605993416,0.567772712261731
2024/05/31_18:27:08,Medium 1,867.0,Medium 2,1.293,25.25036953446365,298,1,NaN,False,0.0018279602335575628,0.0022883720930232557,0.7988037605993416,0.567772712261731
2024/05/31_18:27:09,Medium 1,867.0,Medium 2,1.293,23.904921326104926,298,1,NaN,False,0.0017600505043258777,0.002213333333333333,0.7952035411110895,0.5745842705613808
2024/05/31_18:27:09,Medium 1,867.0,Medium 2,1.293,23.63077557013742,298,1,NaN,False,0.001800206599713736,0.002236363636363636,0.8049704307663048,0.5563565368459272
2024/05/31_18:27:09,Medium 1,867.0,Medium 2,1.293,26.50319513106271,298,1,NaN,False,0.0018140071548411914,0.0023023255813953486,0.7879020975572852,0.5887417297401498
2024/05/31_18:28:11,Medium 1,866.777,Medium 2,1.293,26.70413075959465,298,1,NaN,False,0.0018279602335575628,0.0023162790697674415,0.7891796189053736,0.5862307961411628
2024/05/31_18:28:11,Medium 1,866.777,Medium 2,1.293,30.710084667716153,298,1,NaN,False,0.0019261538326690376,0.002459259259259259,0.7832252030431328,0.5980594159952013
2024/05/31_18:28:31,Medium 1,866.777,Medium 2,1.293,25.30567386802564,298,1,NaN,False,0.0017727797195038915,0.00225,0.7879020975572852,0.5887417297401498
2024/05/31_18:28:31,Medium 1,866.777,Medium 2,1.293,26.620275532419832,298,1,NaN,False,0.0017933156373125523,0.002289655172413793,0.7832252030431328,0.5980594159952013
2024/05/31_18:28:31,Medium 1,866.777,Medium 2,1.293,29.972638816039176,298,1,NaN,False,0.0019024953087358836,0.0024292682926829266,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:31,Medium 1,866.777,Medium 2,1.293,26.018706805899495,298,1,NaN,False,0.0017729370505249096,0.0022636363636363635,0.7832252030431328,0.5980594159952013
2024/05/31_18:28:32,Medium 1,866.777,Medium 2,1.293,27.242950987680587,298,1,NaN,False,0.0018141681447231633,0.0023162790697674415,0.7832252030431328,0.5980594159952013
2024/05/31_18:28:32,Medium 1,866.777,Medium 2,1.293,24.880990543092274,298,1,NaN,False,0.0017333846146260273,0.002213333333333333,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:33,Medium 1,866.777,Medium 2,1.293,29.97497723904341,298,1,NaN,False,0.0019024390243902436,0.0024292682926829266,0.7831325301204819,0.5982460607680238
2024/05/31_18:28:33,Medium 1,866.777,Medium 2,1.293,26.60989715571027,298,1,NaN,False,0.0017935808383073792,0.002289655172413793,0.7833410287788253,0.5978262521458513
2024/05/31_18:28:34,Medium 1,866.777,Medium 2,1.293,28.461170554530366,298,1,NaN,False,0.0018213953356858391,0.0023435294117647057,0.777201824966347,0.6103569443333818
2024/05/31_18:28:52,Medium 1,866.777,Medium 2,1.293,24.337160173777015,298,1,NaN,False,0.0017143364320477193,0.002189010989010989,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:52,Medium 1,866.777,Medium 2,1.293,26.620275532419832,298,1,NaN,False,0.0017933156373125523,0.002289655172413793,0.7832252030431328,0.5980594159952013
2024/05/31_18:28:52,Medium 1,866.777,Medium 2,1.293,27.249327122640263,298,1,NaN,False,0.0018140071548411914,0.0023162790697674415,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:53,Medium 1,866.777,Medium 2,1.293,25.96603354742634,298,1,NaN,False,0.0018279602335575628,0.0023023255813953486,0.7939625256866183,0.5769578475860773
2024/05/31_18:28:53,Medium 1,866.777,Medium 2,1.293,26.093770788474316,298,1,NaN,False,0.0018069491963902346,0.002289655172413793,0.7891796189053736,0.5862307961411628
2024/05/31_18:28:54,Medium 1,866.777,Medium 2,1.293,29.972638816039176,298,1,NaN,False,0.0019024953087358836,0.0024292682926829266,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:54,Medium 1,866.777,Medium 2,1.293,23.30165607573678,298,1,NaN,False,0.0016774689818961554,0.0021419354838709674,0.7831556993792292,0.5981993900953645
2024/05/31_18:28:54,Medium 1,866.777,Medium 2,1.293,29.965625446889597,298,1,NaN,False,0.0019026641517828297,0.0024292682926829266,0.7832252030431328,0.5980594159952013
2024/05/31_18:29:13,Medium 1,866.777,Medium 2,1.293,23.703764379102566,298,1,NaN,False,0.0017468702171470993,0.0021999999999999997,0.7940319168850453,0.5768247797194469
2024/05/31_18:29:14,Medium 1,866.777,Medium 2,1.293,25.3666919633678,298,1,NaN,False,0.0018071071211866547,0.0022758620689655173,0.7940319168850453,0.5768247797194469
2024/05/31_18:29:14,Medium 1,866.777,Medium 2,1.293,25.96603354742634,298,1,NaN,False,0.0018279602335575628,0.0023023255813953486,0.7939625256866183,0.5769578475860773
2024/05/31_18:29:14,Medium 1,866.777,Medium 2,1.293,28.44638386325889,298,1,NaN,False,0.00187957367851015,0.0023855421686746984,0.7879020975572852,0.5887417297401498
